PMID,PMCID,Sentence,Genes,DiseaseName,Interaction type,Regulation
28358337,6154602," Two novel benzamido nonacyclic dilactones, namely neoantimycins A (1) and B (2), together with the known antimycins A1ab (3a,b), A2a (4), and A9 (5), were isolated from the culture broth of this strain.; In addition, three biogenetically related compounds, antimycins A1ab (3a/b), A2a (4) [16], and A9 (5) [12], were identified by HR-TOF-MS and NMR data analyses and by comparison with other data in the literature.",A2a,breast adenocarcinoma,,
28358337,6154602," Two novel benzamido nonacyclic dilactones, namely neoantimycins A (1) and B (2), together with the known antimycins A1ab (3a,b), A2a (4), and A9 (5), were isolated from the culture broth of this strain.; In addition, three biogenetically related compounds, antimycins A1ab (3a/b), A2a (4) [16], and A9 (5) [12], were identified by HR-TOF-MS and NMR data analyses and by comparison with other data in the literature.",A2a,cytotoxicities,,
28358337,6154602," Two novel benzamido nonacyclic dilactones, namely neoantimycins A (1) and B (2), together with the known antimycins A1ab (3a,b), A2a (4), and A9 (5), were isolated from the culture broth of this strain.; In addition, three biogenetically related compounds, antimycins A1ab (3a/b), A2a (4) [16], and A9 (5) [12], were identified by HR-TOF-MS and NMR data analyses and by comparison with other data in the literature.",A2a,glioblastoma,,
28358337,6154602," Two novel benzamido nonacyclic dilactones, namely neoantimycins A (1) and B (2), together with the known antimycins A1ab (3a,b), A2a (4), and A9 (5), were isolated from the culture broth of this strain.; In addition, three biogenetically related compounds, antimycins A1ab (3a/b), A2a (4) [16], and A9 (5) [12], were identified by HR-TOF-MS and NMR data analyses and by comparison with other data in the literature.",A2a,lung cancer,,
27903896,5210574," In order to advance the exploration of microbial secondary metabolism, we developed the largest publically available database of experimentally verified and predicted BCs, the Integrated Microbial Genomes Atlas of Biosynthetic gene Clusters (IMG-ABC) (https://img.jgi.doe.gov/abc/).;  Here, we describe an update of IMG-ABC, which includes ClusterScout, a tool for targeted identification of custom biosynthetic gene clusters across 40 000 isolate microbial genomes, and a new search capability to query more than 700 000 BCs from isolate genomes for clusters with similar Pfam composition.;  These new tools and features add to the value of IMG-ABC's vast body of BC data, facilitating their in-depth analysis and accelerating secondary metabolite discovery.; In order to facilitate the discovery and analysis of BCs and SMs in bacterial genomes and metagenomes, a data mart called the Atlas of Biosynthetic gene Clusters within the Integrated Microbial Genomes system (11) (IMG-ABC) was introduced in 2015 (12).;  The result of this integration was the growth of the IMG-ABC database to contain more than 730 000 BCs in 40 034 isolate microbial genomes and >310 000 BCs in 2416 metagenomes.;  IMG-ABC also provided the means to search these large datasets based on BC and SM attributes, such as BC type, Pfam (14) and EC content (15), BC length, SM activity etc.;  Here, we present an update of IMG-ABC, which includes several new features improving data mining and navigation, such as a set of tools for BC visualization and comparison, and targeted BC identification across thousands of isolate bacterial genomes with ClusterScout.; IMG-ABC can be accessed at https://img.jgi.doe.gov/abc/ and can be browsed without a login requirement.;  However, creating a free IMG account enables users to utilize IMG-ABC's ‘BC Set’ feature, which allows saving groups of BCs on the server side for future retrieval and sharing.; In the initial version of IMG-ABC, users could search the BC database using various attributes, such as BC type, SM produced, or the presence of specific Pfams (14).;  Briefly, in order to find BCs with similar Pfam composition, Pfams assigned to the genes of the query BC are collected and searched against the IMG-ABC database for BCs containing at least three of these Pfams.;  In order to minimize the running time of the search, the ubiquitous ABC Transporter family (PF00005) is not considered at this step.;  Similar functionality in IMG-ABC is provided by ClusterScout, a tool that uses gene Pfam content for the identification of BCs across all publicly available isolate bacterial genomes in IMG.;  The results of a ClusterScout search are saved for up to 24 hours on the IMG-ABC server, so users are encouraged to download the results or, using a registered account, save them in a BC Set.; IMG-ABC case study. (A) The BC Cart is the virtual space where BC analysis can be performed. (B) The function heatmap visualization can be used to study the Pfam content of BCs.;  The green node represents experimentally verified BC for DAPG (from a gammaproteobacterium Pseudomonas fluorescens) in the IMG-ABC database.; The new version of IMG-ABC includes the BC cart, a feature familiar to IMG users (11), which serves to collect the BCs of interest for further in-depth analysis (Figure ​(Figure3A).3A).;  With this update of IMG-ABC, we are introducing the ability to visualize BC similarity networks (Figure ​(Figure3C)3C) by performing all-versus-all pairwise comparisons of selected BCs to create a similarity matrix.; To showcase the power of the new IMG-ABC features applied to a large database of annotated genomes we present a BC discovery and characterization case study using an example of 2,4-diacetylphloroglucinol (DAPG) biosynthesis, which is annotated by the current version of antiSMASH (13) as type 3 polyketide synthase cluster without SM product prediction.;  This search and subsequent analysis using IMG-ABC tools took less than an hour, and has led to the identification of putative DAPG biosynthesis clusters in four betaproteobacteria: a bacterium identified as Pseudogulbenkiania ferrooxidans EGD-HP2 (19) and three members of Chromobacterium genus, Chromobacterium vaccinii MWU205 (20), C. vaccinii MWU328 (20) and Chromobacterium piscinae ND17 (21).;  This example demonstrates the power of IMG-ABC data and tools in supporting the analysis of genome sequences, enabling biological interpretation of sequence data and formulation of testable hypotheses.;  IMG-ABC contains the largest publicly available collection of experimentally identified and predicted BCs.;  Lastly, the content of the IMG-ABC database will be updated to include BC predictions from the latest version of antiSMASH, which not only includes more BC types in the identification algorithm, but also implements ClusterFinder to improve BC boundary prediction (13).;  IMG-ABC will continue to be provided to the users without the need for registration, making the exploration of global microbial secondary metabolism accessible to the entire scientific community.",ABC,cancer,,up
23708134,3719553," Another important category of the GacA regulon was secretion systems, including H1, H2, and H3 (type VI secretion systems [T6SSs]), Hxc (T2SS), and Has and Apr (T1SSs), and CupE and Tad pili.;  Many bacterial secretion systems also received strong and comprehensive regulation originating from GacA, including all three T6SSs (H1, H2, and H3), one T2SS (Hxc), two T1SSs (Has and Apr), one type I pilus system (CupE), and one type IVb pilus system (Tad).;  In contrast, another T1SS (Apr) involved in alkaline protease secretion (44) was under the negative control of GacA (Fig. 2H).;  Similarly, the regulatory role of gacA on two type I secretion systems, the Apr T1SS and the Has T1SS, in M18 is opposite of that in Pf-5 (23).",Apr,twitching motilities,,up
29113654,5726560," Emerging data demonstrate that intestinal bacteria can modulate the efficacy of cancer chemotherapies and novel targeted immunotherapies such as anti-CTLA4 and anti-CD274 therapies, the process of absorption, and the occurrence of complications after gastrointestinal surgery.;  In addition, we describe emerging evidence for roles of intestinal bacteria in the efficacy of cancer chemotherapies and novel targeted immunotherapies such as anti-CTLA4 and anti-CD274 therapies, the process of absorption, and the occurrence of complications after gastrointestinal surgery.; Therapeutic antibodies specific for immune checkpoint molecules, including CTLA4, PDCD1 (programmed cell death 1; PD-1), and CD274 (programmed cell death 1 ligand 1; PD-L1) can effectively enhance antitumor T-cell activity in various cancers, underscoring an important role of T-cell–mediated adaptive immunity in inhibiting tumor progression [143–145]. Studies using a mouse model have shown that the oral administration of Bacteroides thetaiotaomicron or Bacteroides fragilis to germ-free mice can enhance the anticancer effect of the therapeutic antibody specific for CTLA4 [146] and that the oral administration of Bifidobacterium can potentiate the anticancer effect of the therapeutic antibody specific for CD274 [147]. These findings suggest that manipulating the gut microbiota may modulate the efficacy of cancer immunotherapy.; Use of standardized official symbols: We use HUGO (Human Genome Organisation)-approved official symbols for genes and gene products, including AKT, BRAF, CCL20, CD274, CDH1, CTLA4, EGFR, IL6, IL10, IL17, IL18, IL22, IL23, MAPK, MMP9, NFKB, PDCD1, PIK3CA, PTGS2, STAT3, TLR2, TLR4, TP53, VEGFA, and WNT; all are described at www.genenames.org.",CD274,bacterial dysbiosis,,
29113654,5726560," Emerging data demonstrate that intestinal bacteria can modulate the efficacy of cancer chemotherapies and novel targeted immunotherapies such as anti-CTLA4 and anti-CD274 therapies, the process of absorption, and the occurrence of complications after gastrointestinal surgery.;  In addition, we describe emerging evidence for roles of intestinal bacteria in the efficacy of cancer chemotherapies and novel targeted immunotherapies such as anti-CTLA4 and anti-CD274 therapies, the process of absorption, and the occurrence of complications after gastrointestinal surgery.; Therapeutic antibodies specific for immune checkpoint molecules, including CTLA4, PDCD1 (programmed cell death 1; PD-1), and CD274 (programmed cell death 1 ligand 1; PD-L1) can effectively enhance antitumor T-cell activity in various cancers, underscoring an important role of T-cell–mediated adaptive immunity in inhibiting tumor progression [143–145]. Studies using a mouse model have shown that the oral administration of Bacteroides thetaiotaomicron or Bacteroides fragilis to germ-free mice can enhance the anticancer effect of the therapeutic antibody specific for CTLA4 [146] and that the oral administration of Bifidobacterium can potentiate the anticancer effect of the therapeutic antibody specific for CD274 [147]. These findings suggest that manipulating the gut microbiota may modulate the efficacy of cancer immunotherapy.; Use of standardized official symbols: We use HUGO (Human Genome Organisation)-approved official symbols for genes and gene products, including AKT, BRAF, CCL20, CD274, CDH1, CTLA4, EGFR, IL6, IL10, IL17, IL18, IL22, IL23, MAPK, MMP9, NFKB, PDCD1, PIK3CA, PTGS2, STAT3, TLR2, TLR4, TP53, VEGFA, and WNT; all are described at www.genenames.org.",CD274,cancer,,
29113654,5726560," Emerging data demonstrate that intestinal bacteria can modulate the efficacy of cancer chemotherapies and novel targeted immunotherapies such as anti-CTLA4 and anti-CD274 therapies, the process of absorption, and the occurrence of complications after gastrointestinal surgery.;  In addition, we describe emerging evidence for roles of intestinal bacteria in the efficacy of cancer chemotherapies and novel targeted immunotherapies such as anti-CTLA4 and anti-CD274 therapies, the process of absorption, and the occurrence of complications after gastrointestinal surgery.; Therapeutic antibodies specific for immune checkpoint molecules, including CTLA4, PDCD1 (programmed cell death 1; PD-1), and CD274 (programmed cell death 1 ligand 1; PD-L1) can effectively enhance antitumor T-cell activity in various cancers, underscoring an important role of T-cell–mediated adaptive immunity in inhibiting tumor progression [143–145]. Studies using a mouse model have shown that the oral administration of Bacteroides thetaiotaomicron or Bacteroides fragilis to germ-free mice can enhance the anticancer effect of the therapeutic antibody specific for CTLA4 [146] and that the oral administration of Bifidobacterium can potentiate the anticancer effect of the therapeutic antibody specific for CD274 [147]. These findings suggest that manipulating the gut microbiota may modulate the efficacy of cancer immunotherapy.; Use of standardized official symbols: We use HUGO (Human Genome Organisation)-approved official symbols for genes and gene products, including AKT, BRAF, CCL20, CD274, CDH1, CTLA4, EGFR, IL6, IL10, IL17, IL18, IL22, IL23, MAPK, MMP9, NFKB, PDCD1, PIK3CA, PTGS2, STAT3, TLR2, TLR4, TP53, VEGFA, and WNT; all are described at www.genenames.org.",CD274,carcinogenesis,,
29113654,5726560," Emerging data demonstrate that intestinal bacteria can modulate the efficacy of cancer chemotherapies and novel targeted immunotherapies such as anti-CTLA4 and anti-CD274 therapies, the process of absorption, and the occurrence of complications after gastrointestinal surgery.;  In addition, we describe emerging evidence for roles of intestinal bacteria in the efficacy of cancer chemotherapies and novel targeted immunotherapies such as anti-CTLA4 and anti-CD274 therapies, the process of absorption, and the occurrence of complications after gastrointestinal surgery.; Therapeutic antibodies specific for immune checkpoint molecules, including CTLA4, PDCD1 (programmed cell death 1; PD-1), and CD274 (programmed cell death 1 ligand 1; PD-L1) can effectively enhance antitumor T-cell activity in various cancers, underscoring an important role of T-cell–mediated adaptive immunity in inhibiting tumor progression [143–145]. Studies using a mouse model have shown that the oral administration of Bacteroides thetaiotaomicron or Bacteroides fragilis to germ-free mice can enhance the anticancer effect of the therapeutic antibody specific for CTLA4 [146] and that the oral administration of Bifidobacterium can potentiate the anticancer effect of the therapeutic antibody specific for CD274 [147]. These findings suggest that manipulating the gut microbiota may modulate the efficacy of cancer immunotherapy.; Use of standardized official symbols: We use HUGO (Human Genome Organisation)-approved official symbols for genes and gene products, including AKT, BRAF, CCL20, CD274, CDH1, CTLA4, EGFR, IL6, IL10, IL17, IL18, IL22, IL23, MAPK, MMP9, NFKB, PDCD1, PIK3CA, PTGS2, STAT3, TLR2, TLR4, TP53, VEGFA, and WNT; all are described at www.genenames.org.",CD274,colorectal cancers,,
29113654,5726560," Emerging data demonstrate that intestinal bacteria can modulate the efficacy of cancer chemotherapies and novel targeted immunotherapies such as anti-CTLA4 and anti-CD274 therapies, the process of absorption, and the occurrence of complications after gastrointestinal surgery.;  In addition, we describe emerging evidence for roles of intestinal bacteria in the efficacy of cancer chemotherapies and novel targeted immunotherapies such as anti-CTLA4 and anti-CD274 therapies, the process of absorption, and the occurrence of complications after gastrointestinal surgery.; Therapeutic antibodies specific for immune checkpoint molecules, including CTLA4, PDCD1 (programmed cell death 1; PD-1), and CD274 (programmed cell death 1 ligand 1; PD-L1) can effectively enhance antitumor T-cell activity in various cancers, underscoring an important role of T-cell–mediated adaptive immunity in inhibiting tumor progression [143–145]. Studies using a mouse model have shown that the oral administration of Bacteroides thetaiotaomicron or Bacteroides fragilis to germ-free mice can enhance the anticancer effect of the therapeutic antibody specific for CTLA4 [146] and that the oral administration of Bifidobacterium can potentiate the anticancer effect of the therapeutic antibody specific for CD274 [147]. These findings suggest that manipulating the gut microbiota may modulate the efficacy of cancer immunotherapy.; Use of standardized official symbols: We use HUGO (Human Genome Organisation)-approved official symbols for genes and gene products, including AKT, BRAF, CCL20, CD274, CDH1, CTLA4, EGFR, IL6, IL10, IL17, IL18, IL22, IL23, MAPK, MMP9, NFKB, PDCD1, PIK3CA, PTGS2, STAT3, TLR2, TLR4, TP53, VEGFA, and WNT; all are described at www.genenames.org.",CD274,gastrointestinal tract cancers,,
29113654,5726560," Emerging data demonstrate that intestinal bacteria can modulate the efficacy of cancer chemotherapies and novel targeted immunotherapies such as anti-CTLA4 and anti-CD274 therapies, the process of absorption, and the occurrence of complications after gastrointestinal surgery.;  In addition, we describe emerging evidence for roles of intestinal bacteria in the efficacy of cancer chemotherapies and novel targeted immunotherapies such as anti-CTLA4 and anti-CD274 therapies, the process of absorption, and the occurrence of complications after gastrointestinal surgery.; Therapeutic antibodies specific for immune checkpoint molecules, including CTLA4, PDCD1 (programmed cell death 1; PD-1), and CD274 (programmed cell death 1 ligand 1; PD-L1) can effectively enhance antitumor T-cell activity in various cancers, underscoring an important role of T-cell–mediated adaptive immunity in inhibiting tumor progression [143–145]. Studies using a mouse model have shown that the oral administration of Bacteroides thetaiotaomicron or Bacteroides fragilis to germ-free mice can enhance the anticancer effect of the therapeutic antibody specific for CTLA4 [146] and that the oral administration of Bifidobacterium can potentiate the anticancer effect of the therapeutic antibody specific for CD274 [147]. These findings suggest that manipulating the gut microbiota may modulate the efficacy of cancer immunotherapy.; Use of standardized official symbols: We use HUGO (Human Genome Organisation)-approved official symbols for genes and gene products, including AKT, BRAF, CCL20, CD274, CDH1, CTLA4, EGFR, IL6, IL10, IL17, IL18, IL22, IL23, MAPK, MMP9, NFKB, PDCD1, PIK3CA, PTGS2, STAT3, TLR2, TLR4, TP53, VEGFA, and WNT; all are described at www.genenames.org.",CD274,gastrointestinal tract neoplasms,,
29113654,5726560," Emerging data demonstrate that intestinal bacteria can modulate the efficacy of cancer chemotherapies and novel targeted immunotherapies such as anti-CTLA4 and anti-CD274 therapies, the process of absorption, and the occurrence of complications after gastrointestinal surgery.;  In addition, we describe emerging evidence for roles of intestinal bacteria in the efficacy of cancer chemotherapies and novel targeted immunotherapies such as anti-CTLA4 and anti-CD274 therapies, the process of absorption, and the occurrence of complications after gastrointestinal surgery.; Therapeutic antibodies specific for immune checkpoint molecules, including CTLA4, PDCD1 (programmed cell death 1; PD-1), and CD274 (programmed cell death 1 ligand 1; PD-L1) can effectively enhance antitumor T-cell activity in various cancers, underscoring an important role of T-cell–mediated adaptive immunity in inhibiting tumor progression [143–145]. Studies using a mouse model have shown that the oral administration of Bacteroides thetaiotaomicron or Bacteroides fragilis to germ-free mice can enhance the anticancer effect of the therapeutic antibody specific for CTLA4 [146] and that the oral administration of Bifidobacterium can potentiate the anticancer effect of the therapeutic antibody specific for CD274 [147]. These findings suggest that manipulating the gut microbiota may modulate the efficacy of cancer immunotherapy.; Use of standardized official symbols: We use HUGO (Human Genome Organisation)-approved official symbols for genes and gene products, including AKT, BRAF, CCL20, CD274, CDH1, CTLA4, EGFR, IL6, IL10, IL17, IL18, IL22, IL23, MAPK, MMP9, NFKB, PDCD1, PIK3CA, PTGS2, STAT3, TLR2, TLR4, TP53, VEGFA, and WNT; all are described at www.genenames.org.",CD274,inflammation,,
