pathways,PMID,length
breast cancer,"28383816.0,29248948.0,25742265.0,28369962.0,21556165.0,18666798.0,24291459.0,20878070.0,14966533.0,22344918.0,25860944.0,22536197.0,27601844.0,21363997.0,28330310.0,24162094.0,25080434.0,24066037.0,23273751.0,25548974.0,21468561.0,26692349.0,28669925.0,17562555.0,27893436.0,24012108.0,28532671.0,33794773.0,29510517.0,29925861.0,31628201.0,37644606.0,30414102.0,29655782.0,33033304.0,32779523.0,31673827.0,31893233.0,32364069.0,34802242.0,37670557.0,38248647.0,33412463.0,32193737.0,33359421.0,34264405.0,38047468.0,37688688.0,36197044.0,33746192.0,36528623.0,37818229.0,33713530.0,31986029.0,36828883.0,37610512.0,31069124.0,32882989.0,33582268.0,38240473.0,30934972.0,32708048.0,34299514.0,37367861.0,36657563.0,31614563.0,30981803.0,34444002.0,37822695.0,34177873.0,36080247.0,35222863.0,36756721.0,32624987.0,35429253.0,33847614.0,37408902.0,35625301.0,29747750.0,38279824.0,36575224.0,32228987.0",82
microbial metabolism in diverse environments,"29032469.0,27907843.0,35710962.0,36275752.0,34399490.0",5
steroid hormone biosynthesis,34650578.0,1
rna degradation,"12488561.0,28334892.0,36519128.0",3
bacterial secretion system,"35687206.0,34157412.0,37907566.0,29615997.0,34512577.0",5
parkinson disease,"19806188.0,34234177.0",2
tight junction,"28571979.0,18444159.0,33125671.0,35524736.0,34437417.0,34664577.0,35232776.0,32487741.0,35979230.0,33213347.0,37108944.0",11
toxoplasmosis,26410452.0,1
nitrogen metabolism,"22147733.0,28293039.0,22033567.0,21342462.0,29055827.0,22083784.0,29274402.0,22641041.0,26969038.0,23080248.0,22401291.0,28587097.0,28848520.0,28231698.0,31248378.0,34160574.0,31851994.0,32627309.0,34245640.0,35376972.0,34218722.0,36943048.0,36075984.0,34736004.0,31481196.0,37997597.0,34650578.0,30808300.0,36836882.0,35161286.0,36423774.0,36814572.0,31595465.0,33109752.0",34
prodigiosin biosynthesis,"26538254.0,3552718.0,28838222.0,2999302.0,25760402.0,31050252.0,36410584.0,34600298.0,33483309.0,32484808.0,37728826.0",11
base excision repair,"26579709.0,33618627.0",2
ampk signaling pathway,"29113354.0,32683035.0",2
terpenoid backbone biosynthesis,"36813111.0,38249018.0",2
biotin metabolism,32530501.0,1
apoptosis,"28383816.0,21326924.0,27393306.0,16988123.0,28604647.0,19507867.0,28592323.0,28253280.0,18955814.0,23170077.0,25295516.0,27198722.0,24707121.0,21203527.0,20459382.0,25429836.0,24291459.0,26306745.0,18095749.0,28475687.0,27446013.0,26936155.0,27617005.0,29148756.0,22344918.0,26891929.0,30123617.0,24921978.0,25860944.0,28681618.0,26541671.0,20479985.0,26090846.0,26848704.0,16598808.0,16523442.0,27765350.0,28869082.0,23542884.0,29062355.0,18396055.0,23059762.0,27550200.0,10363173.0,22319557.0,27834805.0,24154822.0,28576356.0,26285697.0,15548174.0,28720287.0,23605930.0,21468561.0,20447056.0,28669925.0,30123619.0,21122037.0,30123613.0,27990568.0,21421532.0,23679238.0,12951070.0,26388840.0,22976482.0,26253170.0,26633711.0,22643355.0,12215210.0,28317891.0,37891400.0,31221160.0,36149504.0,30414102.0,32364069.0,29499217.0,34747529.0,33466486.0,37318329.0,35141868.0,30400387.0,34870720.0,34356822.0,38213140.0,33746192.0,38103309.0,32539966.0,34677452.0,37989462.0,30856566.0,33713530.0,34768863.0,35744855.0,36828883.0,32058690.0,31072027.0,31216437.0,32826930.0,34947945.0,36139936.0,36364107.0,32508319.0,34664577.0,31601882.0,32708048.0,34020027.0,35862794.0,35232776.0,31678397.0,37235378.0,29896797.0,33127928.0,35931117.0,32316674.0,30607340.0,36657563.0,33166597.0,29494964.0,34052413.0,35466876.0,29987238.0,33633715.0,30603923.0,37822695.0,31488109.0,32184145.0,35352661.0,30987066.0,35419345.0,37122038.0,31280524.0,29866017.0,35222863.0,36499160.0,36338578.0,36635434.0,31194753.0,36756721.0,36694570.0,33673611.0,38291363.0,31547553.0,30481570.0,37597647.0,29747750.0,34439420.0,31163640.0,36459627.0,35011479.0,37355668.0,30860609.0,38279824.0,34439555.0",152
pertussis,16138079.0,1
cysteine and methionine metabolism,"35738442.0,34901103.0",2
streptomycin biosynthesis,"12165483.0,18375553.0",2
nucleotide excision repair,17178464.0,1
prostate cancer,"28592323.0,25385358.0,24879544.0,27990568.0,31321600.0,35568399.0,32193737.0,30792517.0,30400387.0,34880415.0,38047468.0,31021629.0,38007166.0,34947945.0,31746291.0,31614563.0,32583798.0,29987238.0,31261861.0,35338353.0,37597647.0,29747750.0,32951576.0",23
glioma,"30151327.0,27262066.0,33572615.0,29734036.0,36080247.0",5
