Chemical,ChemicalID,PMID_List,length
(-)-8-O-methyltetrangomycin,C059960,[23274989],1
(13)C,C000615229,[26905826],1
"(E,E,E)-geranylgeranyl diphosphate",C002963,[26475187],1
(S)-ginsenoside Rg3,C097367,[17764709],1
(S)-norcoclaurine,C012348,[29156609],1
(S)-reticuline,C003298,"[22179145, 21610729]",2
(p)ppGpp,D006158,[27281927],1
"-2,4-dimethylbenzoic acid",C028523,[15307685],1
#VALUE!,C001490,[23311635],1
#NAME?,D003960,[27554496],1
"1, 3-bis (3-phenoxyphenoxy)benzene",C426840,[11302198],1
"1,1,1-Trifluoro-2-chloroethane",C016800,[367217],1
"1,1,3,3-tetrabromo-2-heptanone",C561883,[21660776],1
"1,1-Difluoro-2-bromo-2-chloroethylene",C018515,[367217],1
"1,3,6,8-tetrahydroxynaphthalene",C121288,"[16395556, 10476972]",2
"1,8-cineol",D000077591,[26916832],1
"1,8-cineole",D000077591,[15141066],1
1-acetyl-beta-carboline,C583241,[19842066],1
1-aminoethylphosphonic acid,C047639,[525987],1
1-butanol,D020001,[25512025],1
1-carbapen-2-em-3 carboxylic acid,C093704,[20056700],1
1-carbapen-2-em-3-carboxylic acid,C093704,[12519208],1
1-hexacosanol,C051942,[19708882],1
1-hydroxyphenazine,C050093,[21671613],1
1-methyl-4-methylthio-beta-carboline,C000622911,[28777571],1
1-methyltryptophan,C525396,[26270176],1
1-octen-3-ol,C038844,[9246777],1
11-oxoaerothionin,C077375,[22476960],1
12-methyltetradecanoic acid,C069642,[24595070],1
13-methyl-N-(2-phenylethyl)tetradecanamide,C520748,[17510985],1
13C,C000615229,"[27486824, 22032140, 16830891, 12919806, 14643798, 27515463, 12747214, 27757508, 29248948, 18400237, 14574103, 11536462, 25205608, 20336498, 17564461, 18043646, 23192186]",17
14C,C000615234,"[16000813, 17344339]",2
15-acetyl-DON,C046760,[15069674],1
15-hydroxydecaturin A,C000607676,[26670415],1
17alpha-estradiol,C519808,[23708453],1
"1H-indole-2,3-dione",D007510,[24875126],1
"1alpha,25(OH)(2)D(3)",D002117,[20731719],1
"1alpha,25-dihydroxyvitamin D(3)",D002117,[20731719],1
"2',6'-dihydroxy-4'-farnesyloxy-acetophenone",C576421,[22698715],1
"2',6'-dihydroxy-4'-geranyloxyacetophenone",C576420,[22698715],1
"2, 2-diphenyl-1-picryl-hydrazyl",C004931,[27842527],1
"2, 3-bis [2-methyloxy-4-nitro-5-sulfophenyl]-2H-tetrazolium-5-carboxanilide",C548251,[26802522],1
"2, 4-D",D015084,[22425978],1
