Gene,GeneID,PMID_List,length
3-hydroxy-3-methylglutaryl-coenzyme A reductase,3156,[6400479],1
"A1, A2, B",850458,[24751367],1
"A1, A2, B, B1 and B4",850458,[24751367],1
A2a,28882,[28358337],1
ABC,10058,[27903896],1
ACE,1636,[2560484],1
AfsK,1099863,[16579461],1
AfsR,1099866,[16579461],1
Age,5973,[26739136],1
Apr,5366,[23708134],1
Atpdr2,827187,[19854857],1
Azoreductase,1728,[24779771],1
B17,4712,[21429787],1
C-G,1511,[10766021],1
CAST,831,[16715543],1
CD274,29126,[29113654],1
COX2,140540,[27192145],1
CTLA4,1493,[29113654],1
CYP,9360,"[29741855, 25662514]",2
CYP3,10105,[20736090],1
Ccr10,12777,[24353343],1
Ccr2,12772,[24353343],1
CopA,2653903,[16187093],1
Crp,20468888,[23232715],1
Cxcl10,15945,[24353343],1
EN A1,851610,[24751367],1
ER,2099,[20599778],1
ERalpha/alpha,2099,[20599778],1
ERalpha/beta,2099,[20599778],1
ERbeta/beta,2099,[20599778],1
Esi,5266,[28535774],1
Estrogen Receptor,2099,[20599778],1
FAS,2194,[19619887],1
FRAP,2475,"[24206732, 27272544]",2
G6PDH,23504891,[22112266],1
Gac,2744,[23708134],1
GacA,1184681,[14651344],1
GacA,880582,[20069876],1
GcvT,275,[28784988],1
HCN,378938,[15242282],1
Has,3036,[23708134],1
HrpL,1183040,[14651344],1
IF1,93974,[15755955],1
IF2,9669,[15755955],1
IFN-gamma,15978,[28360029],1
IL-1beta,3552,[24838618],1
IL-6,16193,[28360029],1
IL-8,3576,[18308354],1
Il-1beta,16175,[28360029],1
Il2rb,16185,[24353343],1
MCT1,6566,[26272259],1
MIC < 1,9518,[27128927],1
MSI,5928,[26831708],1
MYB,17863,[24353343],1
MYB10,103421948,[24353343],1
NRP,8829,"[28229977, 22802156]",2
ORF1,1115973,[12575445],1
Oatp1a1,28248,[22496825],1
Organic anion transporting polypeptide 1a1,28248,[22496825],1
PA2449,882923,[23457254],1
PAO1,228608,[19054330],1
PHZ1,7702,[12423020],1
Phr,23077,[25559405],1
PigX,100621501,[17766413],1
PigZ,100155312,[18485072],1
Rb1,19645,"[9933987, 9436194]",2
Rb2,19651,[9436194],1
Rev,155908,[9464413],1
RpoN,1186134,[14651344],1
RpoS,1183202,[14651344],1
RpoS,880421,[20499649],1
SCO5087,1100528,[25806970],1
SCO5092,1100533,[25806970],1
SCP2*,6342,[1770350],1
SRB1,949,[24428801],1
Sare0718,5704523,[22655051],1
ScbA,1101707,[21342469],1
Sea,6395,[27128927],1
TGA,6899,[24587717],1
TH,7054,[19806188],1
TNF-alpha,21926,[28360029],1
Tyrosyl-tRNA Synthetase,8565,[27487455],1
U25,9303,[18629474],1
UGT73B3,829559,[24131360],1
UGT73B5,816040,[24131360],1
VEGF,22339,[19754167],1
WAT1,843886,[22978675],1
abc,10058,[27903896],1
abcg30,827187,[19854857],1
acd2,829854,[8989880],1
actIORF1,1100528,[25806970],1
actVB,1100533,[25806970],1
aid,57379,[24651031],1
alpha-synuclein,6622,[19806188],1
angiotensin-converting enzyme,1636,[2560484],1
apolipoprotein A-I binding protein,246703,[22940582],1
attP,55293,[26431970],1
aurora kinase A,6790,[19370169],1
azoreductase,1728,[24779771],1
beta-CD,65057,[24620603],1
bldA,1098521,[2907142],1
butyrylcholinesterase,65036,[23775636],1
carR,397622,[12519208],1
caspase 3,836,[19370169],1
cat2,842170,[20530195],1
cathepsins B and L,1508;1514,[21222136],1
chemokine receptor 10,12777,[24353343],1
chemokine receptor 2,12772,[24353343],1
cholinesterase,100033901,[25863020],1
cinnamate 4-hydroxylase,817599,[20396902],1
cis-1,1154,[28814712],1
coi1,818581,[11402212],1
copA,2653903,[16187093],1
crp,20468888,[23232715],1
cryptic,55997,"[20467781, 28358596, 24127067, 28229977, 21768386, 21611665]",6
"cryptic""",55997,[24127068],1
cytochrome P-450,4051,"[12363340, 3306361]",2
"cytochrome P-450,",4051,[3306361],1
