Species,SpeciesID,PMID_List,length
A. Meyer,52773,[9436194],1
A. aculeatus,5053,[29248948],1
A. aerophoba,289389,"[19588186, 18783385]",2
A. alternata,5599,[24301768],1
A. annua,35608,[24575401],1
A. annua L,212759,[24575401],1
A. balhimycina,208443,[23184174],1
A. baumannii,470,"[28654009, 28705748, 28421168]",3
A. baumannii ATCC 17978,400667,[28421168],1
A. brasilense,192,[21843946],1
A. brasiliensis,37326,[22768320],1
A. brassicicola,29001,[20580869],1
A. calcoaceticus,471,[22806873],1
A. cannabina,446322,[24268066],1
A. cauliformis,289398,[22476960],1
A. cavaraeanum,940301,[24391056],1
A. cavernicola,121477,[26757731],1
A. chinensis,217632,[24069601],1
A. chrysogenum,5044,[1368054],1
A. clavatonanicus,41054,[29049321],1
A. deliciosa,3627,[28705748],1
A. echinatior,103372,"[21245311, 28717220]",2
A. faecalis,511,[26263697],1
A. fennelliae,41048,[23711526],1
A. fistularis,202113,[15266809],1
A. flavus,5059,"[24948950, 23711526]",2
A. formosa,126732,[21454167],1
A. fumigatus,746128,"[25532893, 23711526]",2
A. hydrophila,644,"[22806873, 20553557]",2
A. hymeniacidonis,340345,[28770445],1
A. hypogea,68561,[24392789],1
A. japonicum,208439,[25114137],1
A. kawachii,40384,[23711526],1
A. kerguelensis,254788,[27515463],1
A. lentulus,293939,[23711526],1
A. linnaei,162062,[20061160],1
A. longifolius,91046,[29108108],1
A. longissima,119920,[27437708],1
A. mediterranei,33910,[10943372],1
A. migulanus,47500,"[20814727, 26686620]",2
A. montana,436207,[26036671],1
A. nakamurai,279581,[20061160],1
A. nidulans,162425,"[1368054, 25532893]",2
A. niger,5061,"[21245311, 23488669, 24588891, 28000056, 15189291, 23711526, 20606771]",7
A. ochraceus,40380,[23569796],1
A. odoratissima,158562,[28219296],1
A. oryzae,5062,[23711526],1
A. parasiticus,5067,[24948950],1
A. polypoides,12959,[24268066],1
A. quadrilineatus,41735,[15189291],1
A. rhizogenes,359,[20518352],1
A. rosea,3552,[27717966],1
A. sisalana,442491,[21796935],1
A. sojae,41058,[23711526],1
A. taxiformis,260499,[29018917],1
A. tequilana,386106,[28746900],1
A. terreus,33178,[28083890],1
A. thaliana,3702,[14651344],1
A. tubingensis,5068,[26792125],1
A. tumefaciens,358,"[23360460, 25997443, 15528670]",3
A. tumefaciens C58,176299,[15528670],1
A. variabilis,1172,[17447238],1
A. verrucosa,200527,[24268066],1
A. versicolor,46472,[26637162],1
A. vinelandii,354,[26452553],1
A. westerdijkiae,357447,[24532297],1
A. xylosoxidans,85698,[25809238],1
AA0539,1210045,[23144381],1
AA1529,1203257,[22965095],1
AC37,555740,[23274989],1
ANI,40880,[16230654],1
ATCC 10145,287,"[22806035, 28699251]",2
ATCC 12600,1280,[27754712],1
ATCC 25498,67365,[29111481],1
ATCC 6051,1423,[27166532],1
ATCC) 27064,1901,[20133795],1
ATCC29253,1226757,[22586998],1
Acalypha diversifolia,681400,[23342508],1
Acanthamoeba castellanii,5755,[19322247],1
Acarospora socialis,1307805,[28369962],1
Acentria ephemerella,1666818,[12474899],1
Achromobacter spanius,217203,[28777571],1
Achromobacter xylosoxidans,85698,[25809238],1
Acinetobacter,472,[26961755],1
Acinetobacter baumanii,470,[28535606],1
Acinetobacter baumannii,470,"[27306928, 28785779, 23538871, 25737024, 26864220, 21060211, 27884784, 28654009, 22170780, 28705748, 28642945]",11
Acinetobacter baumannii ATCC 17978,400667,[28421168],1
Acinetobacter baylyi,202950,[23566822],1
Acinetobacter calcoaceticus,471,[22806873],1
Acinetobacter sp,472,"[22806873, 28392268, 14643798, 26961755]",4
Acinetobacter sp. 11,218167,[26263697],1
Acremonium,2046025,[24391056],1
Acremonium butyri,1053065,[22036764],1
Acremonium cavaraeanum,940301,[24391056],1
Acremonium chrysogenum,5044,"[1368054, 15719553, 15939351]",3
Acremonium sp,2046025,[24391056],1
Acremonium sp,5045,[16680458],1
Acromyrmex,230682,[26805489],1
Acromyrmex balzani,230682,[26805489],1
